АН,УА,Д
UERA,UEEE,985
UEEA,UEEE,457
ULDD,USDD,410
UHNA,UEEE,786
UNIB,UNKL,651
UEBB,UEEE,661
UESG,UHMM,987
UHMR,UHMA,205
USDB,USDD,421
UHNB,UHHH,568
UIKB,UIAA,652
UHHG,UHBB,486
UNIW,UIBB,445
ULDW,USDD,435
UENI,UEEE,508
UENW,UEEE,450
UUYW,USDD,151
UEBD,UEEE,933
UODD,UOOO,529
UNII,UNKL,257
UIKE,UIBB,656
UEVV,UEEE,607
UHME,UHMA,232
UHML,UHMA,535
UHBE,UHBB,363
UESU,UHMM,650
UOII,UOOO,210
UHPZ,UHMA,624
UHMK,UHMA,624
UIKK,UIBB,416
USRK,USRR,111
UNKI,UIBB,282
UHKK,UHHH,244
UERL,UEEE,811
UEMM,UEEE,11
UHPN,UHMA,663
UHMO,UHMA,349
UHPM,UHPP,168
UERR,UEEE,815
UEMA,UEEE,811
UNIM,UNKL,261
USMM,USMU,186
ULAM,USDD,595
UELL,UEEE,638
UIUN,UIUU,466
UHNN,UHHH,642
UHPX,UHPP,543
UHSN,UHSS,545
USRO,USRR,226
UENN,UEEE,599
UHQO,UHPP,226
UEMO,UEEE,533
UERO,UOOO,1006
UHMN,UHMM,777
UHMF,UHMM,391
UHPD,UHMM,701
UHSH,UHSS,737
UHOO,UHMM,435
UHPL,UHMM,527
ZD5W,UHPP,409
UHPA,UHMA,641
UHMP,UHMA,640
UNIP,UNKL,620
UERP,UEEE,980
UHMD,UHMA,433
USDA,USDD,559
UEBS,UEEE,635
UEMS,UEEE,239
UERS,UOOO,1023
UNIS,UNKL,468
UHMW,UHMM,512
UHMS,UHMM,347
UHPS,UHPP,206
ULAS,ULAA,241
UESK,UHMM,855
UENS,UEEE,632
UIKG,UIAA,494
UECT,UIBB,674
USDS,USMU,140
UHPG,UHPP,513
UEST,UEEE,1071
UHPT,UHMA,771
USDO,USMU,348
UNIT,UOOO,796
UOTT,UOOO,392
UHBW,UHBB,569
UUYS,USDD,419
UHPK,UHPP,437
UEBT,UEEE,920
UITT,UIBB,253
UEMU,UEEE,316
UEMT,UHMM,650
UHPU,UHPP,450
USDM,UOOO,529
UEMH,UEEE,373
UOHH,UOOO,632
UHNH,UHHH,556
UIAR,UIAA,631
UESS,UHMA,846
UESO,UHMM,1201
UHHY,UHHH,686
UHSK,UHSS,260
HC3Y,UHSS,464
UHBP,UHBB,482
UHSM,UHSS,399
USMQ,USMU,222
UHSI,UHSS,443
