ICAO,2013,2014,2015,2016,2017,2018,2019,2020,2021
UNAA,153986.0,197992.0,192155.0,181196.0,185185.0,197222.0,209772.0,152805.0,253108.0
UERA,,1841.0,1991.0,1244.0,1489.0,,,,
UEEA,,4460.0,4316.0,3668.0,3340.0,,,,
ULDD,,1783.0,1673.0,1492.0,1476.0,,,,
UHMA,93295.0,128993.0,82331.0,90040.0,95538.0,102806.0,102129.0,87775.0,110113.0
URKA,738908.0,1005383.0,1178984.0,1418070.0,1362793.0,1487382.0,1641376.0,1813128.0,2931057.0
ULMK,,20679.0,39504.0,52541.0,60119.0,,,,
ULAA,759474.0,797610.0,799536.0,729714.0,891867.0,942972.0,922539.0,643511.0,1064215.0
URWA,387228.0,426648.0,546146.0,524261.0,580910.0,597038.0,672456.0,521618.0,864522.0
UHNA,,2079.0,2203.0,2258.0,2394.0,,2604.0,2389.0,2774.0
UNIB,,35809.0,25461.0,28590.0,31268.0,,,,
UWSB,,,,,,,,,
UNBB,334566.0,,,,,,,,
UEBB,,26246.0,26108.0,30884.0,29314.0,,,,
UESG,,10358.0,10804.0,9652.0,11884.0,,,,
UUOB,280607.0,396780.0,416817.0,346469.0,468773.0,,468672.0,252953.0,582534.0
UHMR,,1946.0,2091.0,2250.0,2534.0,,2428.0,2285.0,3049.0
UHBB,308713.0,314233.0,356894.0,319045.0,398705.0,412835.0,552802.0,436768.0,710956.0
USDB,,,61349.0,100230.0,128812.0,,,,
UHNB,,1709.0,1394.0,1162.0,1235.0,,2352.0,2208.0,3088.0
UIKB,,46890.0,47569.0,50091.0,51910.0,,,,
UHHG,,,,,,,,,
UIBB,106739.0,110391.0,126877.0,110717.0,115548.0,,,,
UUBP,,10653.0,26931.0,21433.0,20444.0,,,,
UNIW,,15212.0,14005.0,14753.0,1466.0,,,,
ULDW,,16162.0,14560.0,15020.0,15569.0,,,,
ULLK,,,,,,,,,
UENI,,3155.0,3450.0,3971.0,4639.0,,,,
UENW,,4442.0,3864.0,3971.0,4639.0,,,,
UHWW,1830047.0,1772370.0,1678795.0,1828837.0,2171922.0,2633630.0,3079344.0,1292560.0,1813658.0
URMO,226614.0,193539.0,338011.0,369288.0,349684.0,,,487144.0,705783.0
URWW,687628.0,757748.0,901522.0,811516.0,1013823.0,1142878.0,1214216.0,781071.0,1440697.0
ULWW,,8169.0,9322.0,6207.0,5315.0,,,,
UUYW,,60566.0,42525.0,33820.0,26350.0,22275.0,17624.0,7141.0,13862.0
UUOO,357742.0,400067.0,449304.0,433675.0,606289.0,766291.0,856969.0,444846.0,807500.0
URKG,196684.0,236210.0,274036.0,272864.0,294865.0,,,,
UNBG,,41918.0,67173.0,57974.0,60232.0,,102338.0,148374.0,311902.0
URMG,177776.0,247783.0,204335.0,207848.0,283202.0,,,,
UEBD,,14118.0,12927.0,14194.0,14213.0,,,,
UODD,,1344.0,1832.0,4333.0,,,,,
USSS,4253202.0,4473239.0,4170737.0,4207328.0,5277434.0,5953782.0,6232318.0,3489286.0,5973276.0
UNII,,17101.0,17928.0,22239.0,24521.0,,,,
UIKE,,7752.0,7480.0,7473.0,7865.0,,,,
UEVV,,12230.0,12787.0,11196.0,10908.0,,,,
UUBW,,,,,,,,,
UHME,,,,,,,,,
UHML,,6028.0,5753.0,6583.0,7344.0,,7373.0,6512.0,7836.0
UHBE,,4944.0,3333.0,2314.0,2136.0,,2520.0,5726.0,12810.0
UESU,,9197.0,9442.0,8665.0,8073.0,,,,
UUBI,,22043.0,20471.0,18385.0,22953.0,22684.0,38273.0,34399.0,68125.0
UOII,208682.0,208062.0,192090.0,214325.0,278039.0,,,,
USII,195444.0,254918.0,240937.0,256987.0,315557.0,,,297463.0,544751.0
UIII,1527203.0,1661261.0,1635478.0,1652799.0,1973584.0,2181998.0,2433794.0,1344484.0,2077769.0
UWKJ,,17281.0,7574.0,712.0,465.0,,6574.0,14866.0,22649.0
UWKD,1847258.0,1942408.0,1794735.0,1912961.0,2623423.0,,,2171603.0,
UMKK,1367263.0,1460060.0,1542360.0,1570821.0,1788097.0,2149413.0,2370157.0,2117931.0,3910846.0
UUBC,,,8914.0,19273.0,18145.0,,119667.0,95777.0,200133.0
UHPZ,,,,,,,,,
UNEE,484424.0,463809.0,347114.0,268077.0,398026.0,494295.0,512916.0,297160.0,564033.0
UHMK,,22868.0,22387.0,21954.0,23349.0,23625.0,23553.0,25817.0,39044.0
UIKK,,50793.0,30136.0,29207.0,29012.0,,,,
USKK,,74164.0,124458.0,198342.0,166160.0,,240842.0,209162.0,336651.0
USRK,140538.0,131730.0,119127.0,117553.0,127382.0,136052.0,135978.0,69627.0,94076.0
UNKI,,12854.0,10284.0,10115.0,10250.0,,,,
UHKK,,26082.0,34823.0,9426.0,15182.0,5818.0,8703.0,7728.0,9862.0
UUBA,,10028.0,7727.0,8601.0,7357.0,,,,
URKK,2853394.0,3420385.0,3121630.0,2993290.0,3494987.0,4160053.0,4630770.0,3076447.0,5022243.0
UNKL,2044014.0,2045249.0,1788754.0,1796373.0,2258634.0,2517298.0,2481914.0,1656190.0,2694817.0
USUU,,81541.0,74837.0,67472.0,63709.0,,,,
UUOK,,37176.0,35479.0,30468.0,32871.0,,38161.0,56248.0,103222.0
UNKY,,24099.0,29367.0,33651.0,24786.0,28521.0,64675.0,57266.0,88806.0
UERL,,64317.0,67770.0,84303.0,57341.0,47660.0,47565.0,28460.0,32872.0
UUOL,,13762.0,49796.0,55459.0,63821.0,,,,
UHMM,368330.0,348907.0,326629.0,347340.0,376794.0,,425652.0,342005.0,471164.0
UEMM,,21651.0,12541.0,11307.0,10672.0,,,,
URMS,,92997.0,117214.0,205843.0,231633.0,,,,
USCM,188880.0,171648.0,133405.0,127662.0,193175.0,,,,
UHPN,,1619.0,1407.0,1250.0,1264.0,,,,
UHMO,,2422.0,2850.0,3213.0,3332.0,,2650.0,2372.0,2636.0
URML,495199.0,421145.0,706912.0,869471.0,1067684.0,1295353.0,1500690.0,1399489.0,2030044.0
UHPM,,56.0,76.0,39.0,30.0,,,,
URMM,1472836.0,1921453.0,1957121.0,1721697.0,2180178.0,2409488.0,2526419.0,1797989.0,3204709.0
UERR,238829.0,234191.0,239134.0,291410.0,329446.0,342197.0,363545.0,228946.0,269391.0
UEMA,,,,,,,,,
UUWW,11175142.0,12733118.0,15815129.0,13946688.0,18138865.0,21478486.0,24001521.0,12565241.0,17999084.0
UUDD,30765078.0,33039531.0,30504515.0,28500259.0,30657854.0,29403704.0,28252337.0,16389427.0,25065087.0
UUEE,28974815.0,31259662.0,31279508.0,33655605.0,39641443.0,45348150.0,49438545.0,19566402.0,30623796.0
UNIM,,632.0,910.0,2630.0,3854.0,,,,
ULMM,614024.0,667065.0,751258.0,763668.0,845928.0,938022.0,1029661.0,899835.0,1355612.0
USMM,162446.0,173769.0,167200.0,163339.0,169313.0,186769.0,212451.0,141348.0,182572.0
URMN,,83747.0,105484.0,194096.0,236865.0,,,,
ULAM,208827.0,219275.0,210938.0,202795.0,183127.0,,,,
UELL,,83704.0,69989.0,83679.0,115336.0,,,,
UIUN,,12990.0,10920.0,7716.0,16379.0,,,,
USNN,641345.0,678029.0,660552.0,618890.0,669872.0,652129.0,749520.0,460400.0,638925.0
UWKE,331396.0,405973.0,366771.0,376549.0,587361.0,,782501.0,428804.0,643977.0
UWGG,910015.0,1126755.0,946334.0,775679.0,961491.0,1134534.0,1114056.0,574305.0,1452301.0
UHNN,,38515.0,35337.0,33547.0,35415.0,39328.0,43989.0,41839.0,51301.0
UHPX,,2272.0,1998.0,2005.0,1863.0,,,,
UNWW,174629.0,213770.0,209747.0,188458.0,234409.0,246801.0,256150.0,199329.0,397730.0
UNNT,3592285.0,3829667.0,3600291.0,3932368.0,4809605.0,5721367.0,6571396.0,4531157.0,6662128.0
USMU,732457.0,815679.0,870728.0,896578.0,937628.0,937401.0,973705.0,698876.0,954718.0
UHSN,,42665.0,39683.0,36595.0,40938.0,,59587.0,20918.0,24575.0
UOOO,485521.0,477216.0,498102.0,514657.0,461723.0,499380.0,514501.0,431479.0,604977.0
USRO,225623.0,230062.0,215380.0,201012.0,209479.0,196191.0,228365.0,165930.0,229998.0
UENN,,20796.0,21209.0,20054.0,20460.0,,,,
UHQO,,1121.0,59.0,445.0,13.0,,,,
UEMO,,24000.0,27933.0,30557.0,33653.0,,,,
UERO,,9372.0,9334.0,9152.0,10388.0,,,,
UHMN,,1471.0,1180.0,1412.0,1792.0,,1403.0,1501.0,1485.0
UNOO,961122.0,1037808.0,881186.0,819932.0,948248.0,1088926.0,1348505.0,933587.0,1492032.0
UHMF,,5874.0,5936.0,7307.0,7015.0,,8053.0,6532.0,7886.0
UWOO,571792.0,661133.0,629549.0,487032.0,744303.0,792316.0,783647.0,524134.0,993574.0
UWOR,,77548.0,80917.0,65680.0,26310.0,,,,
UHPD,,8418.0,8967.0,7548.0,8124.0,,,,
UHSH,,43569.0,43186.0,50625.0,44347.0,,42328.0,23431.0,33500.0
UHOO,,24052.0,24867.0,27959.0,27777.0,,30499.0,26292.0,30000.0
UHPL,,7358.0,8099.0,6996.0,9570.0,,,,
ZD5W,,,,,,,,,
UHPA,,1067.0,1234.0,1178.0,1429.0,,,,
UHMP,,21102.0,20704.0,22932.0,24226.0,22896.0,23905.0,21992.0,24391.0
UWPP,,75406.0,94038.0,105991.0,152881.0,,186175.0,126533.0,216478.0
USPP,1148921.0,1315144.0,1284970.0,1124493.0,1338373.0,1519617.0,,,
ULPB,,18959.0,6847.0,16795.0,30301.0,,,,
UHPP,621137.0,613737.0,602800.0,617986.0,658689.0,697094.0,757698.0,554057.0,772717.0
UNIP,,11667.0,9791.0,10744.0,10560.0,,,,
UERP,,53589.0,50323.0,58511.0,58237.0,61935.0,68875.0,53925.0,69141.0
UHMD,,5104.0,4273.0,5834.0,6200.0,,5821.0,5237.0,5967.0
ULOO,,9574.0,12278.0,12365.0,4142.0,,,,
URRP,2189439.0,2340295.0,2061016.0,2093260.0,2532266.0,,,,2897938.0
USDA,,,127657.0,239744.0,369819.0,,,,
UEBS,,5979.0,5899.0,5924.0,6251.0,,,,
USDD,413613.0,363825.0,284172.0,293359.0,298104.0,,,,
UWWW,2146004.0,2359133.0,2193744.0,2083172.0,2631729.0,3056610.0,2999252.0,1675034.0,2993142.0
UEMS,,3058.0,2028.0,1974.0,1598.0,,,,
ULLI,12854366.0,14264732.0,13501454.0,13265037.0,16125520.0,18123064.0,19581262.0,10944421.0,18043464.0
UWPS,,28766.0,30378.0,31059.0,,,90552.0,40710.0,103710.0
UWSG,365451.0,481820.0,450172.0,,,,,,983011.0
UERS,,13126.0,12756.0,15000.0,13704.0,,,,
URFB,,,,,,,,,
UNIS,,17101.0,17928.0,22239.0,24521.0,,,,
UHMW,,9186.0,8182.0,7733.0,7745.0,,,,
UHMS,,1594.0,1933.0,2148.0,2008.0,,,,
URFF,,2685269.0,5017758.0,5201690.0,5128743.0,,,,
UHPS,,1172.0,947.0,644.0,807.0,,,,
ULAS,,12026.0,13643.0,11481.0,9873.0,,,,
URSS,2425681.0,3065644.0,4076509.0,5248800.0,5681974.0,6343869.0,6760567.0,6505301.0,11076621.0
UESK,,19868.0,18921.0,18201.0,21468.0,,,,
URMT,247709.0,343213.0,322365.0,328152.0,356210.0,392246.0,411895.0,337991.0,577007.0
UENS,,11387.0,11320.0,10711.0,11303.0,,,,
USRR,1305655.0,1353287.0,1416846.0,1482752.0,1721044.0,1752278.0,1866416.0,1297578.0,1843224.0
UUYY,389516.0,450351.0,440546.0,449144.0,511582.0,563965.0,549748.0,370482.0,546954.0
UIKG,,13891.0,13853.0,11595.0,12474.0,,,,
UECT,122628.0,189482.0,197136.0,223428.0,265485.0,,,,
UUOT,,28095.0,24919.0,23269.0,31294.0,22155.0,18412.0,14511.0,31826.0
USDS,,40002.0,37269.0,22068.0,14412.0,,,,
UHPG,,14911.0,5202.0,4512.0,4047.0,,,,
UEST,,19009.0,17567.0,18495.0,17253.0,17245.0,17734.0,15460.0,18947.0
UHPT,,24689.0,25119.0,30454.0,32928.0,,,,
USDO,,7755.0,7654.0,7928.0,7872.0,,,,
UNTT,465841.0,533465.0,506031.0,541220.0,617717.0,615568.0,732754.0,340463.0,486965.0
UNIT,,27788.0,19556.0,18773.0,2066.0,,,,
UOTT,,23288.0,21186.0,20969.0,19684.0,,,,
UHBW,,586.0,625.0,1388.0,5794.0,,899.0,2410.0,10561.0
USTR,1372621.0,1369094.0,1399264.0,1518076.0,1822909.0,1978979.0,2039007.0,1374620.0,2242326.0
UIUU,288841.0,301503.0,284545.0,234824.0,259585.0,,,,
UWLL,143730.0,149095.0,179929.0,47761.0,,,344119.0,290824.0,554758.0
UUYS,154419.0,168689.0,187690.0,162286.0,158657.0,,,,
UHPK,,742.0,315.0,276.0,1248.0,,,,
UEBT,,3526.0,4526.0,77903.0,83521.0,,,,
UITT,,70153.0,71978.0,77903.0,83521.0,,,,
UEMU,,9202.0,10833.0,11298.0,10676.0,,,,
UEMT,,10315.0,11481.0,12212.0,12484.0,,,,
UHPU,,2867.0,3477.0,3687.0,3696.0,,,,
USDM,,,,,,,,,
UWUU,2186579.0,2356467.0,2291502.0,2295446.0,2794407.0,3222825.0,3556533.0,2368689.0,3987137.0
UHHH,1973005.0,1924253.0,1716333.0,1795400.0,2047092.0,2134476.0,2185051.0,1270203.0,1780605.0
UEMH,,1367.0,890.0,1340.0,1889.0,,,,
USHH,276448.0,278553.0,260109.0,219504.0,254537.0,291182.0,406445.0,253682.0,389281.0
UOHH,,15364.0,17215.0,23522.0,34781.0,3931.0,15337.0,17075.0,21156.0
UHNH,,711.0,401.0,691.0,730.0,,888.0,989.0,1760.0
UIAR,,10841.0,8660.0,7926.0,9035.0,,,,
UWKS,,58424.0,90464.0,164926.0,251780.0,,394586.0,283888.0,460261.0
USCC,1197747.0,1394142.0,1229435.0,1188865.0,1469769.0,1640535.0,1713532.0,1154750.0,1813638.0
ULWC,85624.0,111910.0,132602.0,142378.0,149068.0,,,,
UESS,,8351.0,7946.0,7404.0,6829.0,,,,
UIAA,308113.0,323759.0,305566.0,318451.0,358674.0,389541.0,455350.0,346292.0,514623.0
UESO,,7021.0,6752.0,6710.0,6592.0,,,,
UHHY,,3339.0,3272.0,3763.0,3765.0,,3762.0,3536.0,3838.0
UHSK,,5211.0,5758.0,3613.0,7939.0,,3534.0,1759.0,8347.0
HC3Y,,,,,,,,,
UHBP,,1416.0,741.0,1221.0,385.0,,503.0,1066.0,4493.0
URWI,,11396.0,12727.0,11691.0,10898.0,,,,
UHSM,,16422.0,19716.0,21245.0,24348.0,,,,
UHSS,851423.0,853597.0,849211.0,942730.0,985211.0,1064853.0,1209161.0,697357.0,1069627.0
UEEE,840479.0,870040.0,871875.0,875869.0,902463.0,908384.0,949746.0,582731.0,796532.0
USMQ,,62944.0,63768.0,64562.0,62419.0,61918.0,61756.0,34289.0,41536.0
UUDL,,11312.0,15174.0,15841.0,23817.0,25571.0,39079.0,64681.0,98557.0
UHSI,,,,,,,,,
ZFC7,,,,,,,,,
UKCC,,,,,,,,,
UKCW,,,,,,,,,
UKDE,,,,,,,,,
UKOH,,,,,,,,,
UKCM,,,,,,,,,
