Регион,КЗ
Российская Федерация ,1
Центральный федеральный округ,0.793507282
Белгородская область,1.36486359
Брянская область,1.587851037
Владимирская область,1.428504717
Воронежская область,1.387905378
Ивановская область,1.691388426
Калужская область,1.191143792
Костромская область,1.595142573
Курская область,1.423811334
Липецкая область,1.37856396
Московская область ,0.862864686
Орловская область,1.592873513
Рязанская область,1.36331259
Смоленская область,1.499692057
Тамбовская область,1.623232246
Тверская область,1.397022556
Тульская область,1.266479241
Ярославская область,1.318383741
г.Москва ,0.520925717
Северо-Западный федеральный округ,0.906825259
Республика Карелия,1.136731368
Республика Коми,0.89342853
Архангельская область,0.937511437
в том числе Ненецкий авт.округ,0.545800837
Архангельская область без авт. округа.,0.997784443
Вологодская область,1.234003372
Калининградская область,1.295254061
Ленинградская область,1.045637808
Мурманская область,0.755511664
Новгородская область,1.348033035
Псковская область,1.641427483
г.Санкт-Петербург,0.765321053
Южный федеральный округ  ,1.388861521
Республика Адыгея,1.610418311
Республика Калмыкия,1.728888371
Республика Крым,1.458307898
Краснодарский край,1.299741358
Астраханская область,1.37183838
Волгоградская область,1.443141404
Ростовская область,1.423244514
г.Севастополь,1.37695136
Северо-Кавказский федеральный округ,1.651146908
Республика Дагестан,1.830736425
Республика Ингушетия,1.768796831
Кабардино-Балкарская Республика,1.756182477
Карачаево-Черкесская Республика,1.739242812
Республика Северная  Осетия - Алания,1.695857941
Чеченская Республика,1.729399419
Ставропольский край,1.502346492
Приволжский федеральный округ,1.349932208
Республика Башкортостан,1.323084359
Республика Марий Эл,1.556958231
Республика Мордовия,1.598884154
Республика Татарстан,1.20416162
Удмуртская Республика,1.379123963
Чувашская Республика,1.567113019
Пермский край,1.21258666
Кировская область,1.57110974
Нижегородская область,1.315719129
Оренбургская область,1.400110148
Пензенская область,1.505305379
Самарская область,1.288871049
Саратовская область,1.551867984
Ульяновская область,1.519722136
Уральский федеральный округ,0.911306081
Курганская область,1.524378547
Свердловская область,1.131491721
Тюменская область,0.642557602
Ханты-Мансийский  авт. округ - Югра,0.613705096
Ямало-Ненецкий авт. округ,0.469444899
Тюменская область без авт. округов,0.988835454
Челябинская область,1.217949299
Сибирский федеральный округ,1.156555304
Республика Алтай,1.474468308
Республика Бурятия,1.241643292
Республика Тыва,1.231188954
Республика Хакасия,1.261169207
Алтайский край,1.34960023
Забайкальский край,1.082432218
Красноярский край,1.012805464
Иркутская область,1.087702366
Кемеровская область,1.253274199
Новосибирская область,1.194608225
Омская область,1.127953413
Томская область,1.076261727
Дальневосточный федеральный округ,0.761352764
Республика Саха (Якутия),0.7280971
Камчатский край,0.62234131
Приморский край,1.028825994
Хабаровский край,0.949312968
Амурская область,1.046888457
Магаданская область,0.539093843
Сахалинская область,0.59547842
Еврейская авт.область,1.138046018
Чукотский авт.округ,0.443172939
